period,total_cases,new_cases
10/1/21,43682263,154614
10/2/21,43729267,47004
10/3/21,43772872,43605
10/4/21,43918343,145471
10/5/21,44013714,95371
10/6/21,44126704,112990
10/7/21,44228161,101457
10/8/21,44359886,131725
10/9/21,44397588,37702
10/10/21,44436498,38910
10/11/21,44533989,97491
10/12/21,44645121,111132
10/13/21,44753976,108855
10/14/21,44840959,86983
10/15/21,44950800,109841
10/16/21,44990038,39238
10/17/21,45021121,31083
10/18/21,45121161,100040
10/19/21,45202443,81282
10/20/21,45294396,91953
10/21/21,45372328,77932
10/22/21,45468711,96383
10/23/21,45500550,31839
10/24/21,45519123,18573
10/25/21,45630247,111124
10/26/21,45699477,69230
10/27/21,45801855,102378
10/28/21,45877612,75757
10/29/21,45972747,95135
10/30/21,46006617,33870
10/31/21,46038646,32029
11/1/21,46150128,111482
11/2/21,46221098,70970
11/3/21,46306471,85373
11/4/21,46388208,81737
11/5/21,46484904,96696
11/6/21,46519511,34607
11/7/21,46555825,36314
11/8/21,46664869,109044
11/9/21,46744841,79972
11/10/21,46840555,95714
11/11/21,46897227,56672
11/12/21,47042062,144835
11/13/21,47085571,43509
11/14/21,47116792,31221
11/15/21,47251615,134823
11/16/21,47338690,87075
11/17/21,47451380,112690
11/18/21,47561582,110202
11/19/21,47688508,126926
11/20/21,47733313,44805
11/21/21,47772548,39235
11/22/21,47918212,145664
11/23/21,48009502,91290
11/24/21,48121047,111545
11/25/21,48160105,39058
11/26/21,48212811,52706
11/27/21,48238828,26017
11/28/21,48281338,42510
11/29/21,48469081,187743
11/30/21,48586419,117338
12/1/21,48723416,136997
12/2/21,48862639,139223
12/3/21,49021288,158649
12/4/21,49086882,65594
12/5/21,49141150,54268
12/6/21,49320637,179487
12/7/21,49433879,113242
12/8/21,49583551,149672
12/9/21,49706000,122449
12/10/21,49866678,160678
12/11/21,49922510,55832
12/12/21,49973827,51317
12/13/21,50160912,187085
12/14/21,50275736,114824
12/15/21,50419315,143579
12/16/21,50560916,141601
12/17/21,50753684,192768
12/18/21,50831469,77785
12/19/21,50919263,87794
12/20/21,51161681,242418
12/21/21,51340056,178375
12/22/21,51580795,240739
12/23/21,51850531,269736
12/24/21,52083986,233455
12/25/21,52156791,72805
12/26/21,52352498,195707
12/27/21,52861106,508608
12/28/21,53217110,356004
12/29/21,53715495,498385
12/30/21,54303763,588268
12/31/21,54793602,489839
1/1/22,54959872,166270
1/2/22,55263999,304127
1/3/22,56340454,1076455
1/4/22,57146009,805555
1/5/22,57790463,644454
1/6/22,58605103,814640
1/7/22,59461893,856790
1/8/22,59847636,385743
1/9/22,60323380,475744
1/10/22,61691762,1368382
1/11/22,62461007,769245
1/12/22,63370543,909536
1/13/22,64210668,840125
1/14/22,65069619,858951
1/15/22,65463200,393581
1/16/22,65930556,467356
1/17/22,66590148,659592
1/18/22,67693339,1103191
1/19/22,68684431,991092
1/20/22,69329860,645429
1/21/22,70209840,879980
1/22/22,70495874,286034
1/23/22,70700678,204804